no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
76,20120713,6064,1700,2500,1600,1700,33,2005,100,282700,90000,160700,32000,0,1,0,0,0,0,1
77,20120719,9419,1200,2311,1150,1200,25,2004,100,521400,300000,153400,68000,0,1,0,0,1,0,0
78,20120724,3665,1750,4030,1550,1750,25,2004,100,198300,120000,52500,25800,0,1,0,1,0,0,0
79,20120807,6065,2050,2500,1950,2050,33,2010,100,437000,140000,240000,57000,0,1,1,0,0,0,0
80,20120919,9201,3790,3810,3500,3790,22,1953,100,175000000,0,175000000,0,0,0,0,1,0,0,0
81,20120925,3175,2350,3305,2150,2350,27,2001,100,626700,350000,195000,81700,0,1,1,0,0,0,0
82,20120928,6067,900,2120,800,900,33,2004,100,207000,50000,130000,27000,0,1,0,0,0,0,1
83,20121004,9386,1020,938,1020,1140,24,1994,100,1404100,450000,771000,183100,0,1,1,0,0,0,0
84,20121019,6069,2550,6500,2300,2550,33,2000,100,310500,270000,0,40500,0,1,0,1,0,0,0
85,20121023,3896,370,371,330,370,6,1943,100,2875000,1900000,600000,375000,0,0,0,1,0,0,0
86,20121023,3176,460,444,420,460,26,1947,100,3289000,2600000,260000,429000,0,0,0,0,0,0,0
87,20121112,3177,1170,1302,1170,1340,27,2000,100,368000,70000,250000,48000,0,1,1,0,0,0,0
88,20121115,6070,420,846,400,440,33,1996,100,1587000,600000,780000,207000,0,1,1,0,0,0,0
89,20121121,3280,1350,2513,1250,1350,32,1999,100,383800,250000,83800,50000,0,1,0,0,0,0,1
90,20121130,4584,1200,1550,1200,1500,8,2001,100,999900,580000,289900,130000,0,1,1,0,0,0,0
91,20121206,6071,1450,2610,1250,1450,33,2006,100,276000,140000,136000,0,0,1,0,0,0,0,0
92,20121207,3666,1540,1878,1380,1540,25,1994,100,632500,300000,250000,82500,0,1,0,1,0,0,0
93,20121211,3667,800,2500,760,800,25,2009,100,1249000,50000,1040000,159000,0,1,0,1,0,0,0
94,20121211,4585,1300,1196,1300,1600,8,2004,100,3277500,2150000,700000,427500,0,1,1,0,0,0,0
95,20121213,3668,3000,5650,2700,3000,25,2008,100,1452000,780000,540000,132000,0,1,0,1,0,0,0
96,20121213,4929,1250,1310,1250,1350,7,1990,100,1150000,750000,250000,150000,0,0,1,0,0,0,0
97,20121214,3178,1000,945,1000,1050,27,2009,100,10222000,1000000,7900000,1322000,0,0,1,0,0,0,0
98,20121219,3669,3000,7000,2700,3000,25,2002,100,261000,106800,120200,34000,0,1,1,0,0,0,0
99,20121219,7164,980,1016,930,980,31,1981,100,10910900,7350000,2137800,1423100,0,0,0,1,0,0,0
100,20121220,2931,1700,3900,1580,1700,4,2005,100,630500,500000,50500,80000,0,1,0,0,1,0,0
101,20121220,6165,560,530,510,560,15,1975,100,2185000,1300000,600000,285000,0,0,0,1,0,0,0
102,20121220,3179,330,550,310,330,27,2005,100,1092500,750000,200000,142500,0,1,1,0,0,0,0
103,20121221,6072,720,1412,700,720,33,2008,100,901000,384000,400000,117000,0,1,1,0,0,0,0
104,20121221,3261,360,368,340,360,32,2006,100,250000,250000,0,0,0,1,0,0,0,0,0
105,20130213,4586,1000,2200,800,1000,8,2002,100,2679900,2202200,128200,349500,0,1,1,0,0,0,0
106,20130214,3180,2300,4160,2100,2300,26,2003,100,239000,95000,124000,20000,0,1,0,0,0,0,1
107,20130214,3181,900,2000,800,900,27,1999,100,431000,215000,160000,56000,0,1,1,0,0,0,0
108,20130220,3670,1500,5000,1450,1500,25,1965,100,402500,150000,200000,52500,0,1,0,0,0,1,0
109,20130312,3671,1300,5510,1100,1300,25,1974,100,575000,300000,200000,75000,0,1,1,0,0,0,0
110,20130313,3182,1200,3700,1000,1200,27,1997,100,805000,500000,200000,105000,0,1,0,0,0,1,0
111,20130314,3672,1500,4015,1400,1500,25,2010,100,1559500,900000,456500,203000,0,1,1,0,0,0,0
112,20130315,2588,1200,3600,1000,1200,4,2006,100,287500,250000,0,37500,0,1,1,0,0,0,0
113,20130315,9025,1020,1404,980,1020,21,1945,100,6872000,2550000,3425700,896300,0,0,0,1,0,0,0
114,20130319,7215,3940,4150,3750,3940,17,2004,100,1007500,347500,560000,100000,0,0,0,1,0,0,0
115,20130319,6073,930,1034,900,930,33,1973,100,2990000,1000000,1600000,390000,0,0,0,0,0,0,0
116,20130322,3673,1080,1200,1040,1080,25,2009,100,21593000,2300000,16480000,2813000,0,0,1,0,0,0,0
117,20130327,1419,980,1700,870,980,3,1998,100,9244800,6500000,1539000,1205800,0,0,0,1,0,0,0
118,20130409,1420,700,1250,600,700,3,1996,100,2070000,1800000,0,270000,0,0,1,0,0,0,0
119,20130425,3674,2600,10480,2280,2600,25,2007,100,368000,242000,78000,48000,0,1,0,0,1,0,0
120,20130611,4587,2500,7900,1920,2500,8,2006,100,3105000,1660000,1040000,405000,0,1,0,0,0,1,0
121,20130613,6248,720,1702,700,720,15,1953,100,563700,250200,240000,73500,0,1,0,0,0,1,0
122,20130626,4978,3200,17800,2830,3200,7,2003,100,1491200,642000,654700,194500,0,1,0,0,1,0,0
123,20130627,6074,950,1200,850,950,33,1976,100,575000,300000,200000,75000,0,1,0,0,0,0,1
124,20130627,3184,1900,3000,1800,1900,27,2009,100,410000,297000,60000,53000,0,1,1,0,0,0,0
125,20130703,2587,3100,3120,3000,3800,4,2009,100,125200000,93000000,26000000,6200000,0,0,1,0,0,0,0
126,20130710,6075,1670,3775,1470,1670,33,2002,100,230000,100000,100000,30000,0,1,0,0,0,0,1
127,20130710,3185,2600,5210,2400,2600,27,1998,100,460300,300000,100300,60000,0,1,1,0,0,0,0
128,20130730,3186,1700,2011,1500,1700,27,1998,100,824500,637000,80000,107500,0,1,1,0,0,0,0
129,20130813,6076,730,797,700,730,33,1924,100,1414500,1230000,0,184500,0,0,0,1,0,0,0
130,20130829,6077,1500,3100,1300,1500,33,2003,100,471500,355000,55000,61500,0,1,1,0,0,0,0
131,20130913,3187,950,3500,870,950,27,1979,100,437000,380000,0,57000,0,1,1,0,0,0,0
132,20130920,3288,1780,2100,1580,1780,32,1996,100,8375000,5400000,2975000,400000,0,0,0,1,0,0,0
133,20130925,5698,700,1040,630,700,12,2010,100,1863000,1620000,0,243000,0,0,1,0,0,0,0
134,20131004,6078,2000,4035,1800,2000,33,2001,100,414000,245000,115000,54000,0,1,1,0,0,0,0
135,20131008,6079,280,717,240,280,33,2008,100,8930000,4170000,3600000,1160000,0,1,1,0,0,0,0
136,20131022,3677,740,3500,700,740,25,1980,100,690000,400000,200000,90000,0,1,0,0,0,0,1
137,20131119,3189,1000,5100,960,1000,27,1992,100,540500,320000,150000,70500,0,1,0,1,0,0,0
