上場年,証券番号,企業名,主幹事,備考
2015,6182,ロゼッタ,日興,
2015,7183,あんしん保証,SBI,
2015,6178,日本郵政,野村,
2015,7181,かんぽ生命保険,野村,
2015,7182,ゆうちょ銀行,野村,
2015,3418,バルニバービ,日興,
2015,6181,パートナーエージェント,日興,
2015,6180,ＧＭＯメディア,大和,
2015,4594,グリーンペプタイド,みずほ,
2015,6177,ＡｐｐＢａｎｋ,野村,
2015,6176,ブランジスタ,大和,
2015,6175,ネットマーケティング,SBI,上場中止
2015,3920,アイビーシー,野村,
2015,3416,ピクスタ,野村,
2015,1434,ＪＥＳＣＯホールディングス,野村,
2015,1433,ベステラ,東海東京,
2015,3415,ＳＴＵＤＩＯＵＳ,日興,
2015,6173,アクアライン,いちよし,
2015,6172,メタップス,日興,
2015,3139,ラクト・ジャパン,野村,
2015,6171,土木管理総合試験所,野村,
2015,3461,パルマ,いちよし,
2015,6170,リッチメディア,みずほ,上場中止
2015,1431,エスケーホーム,岡三,
2015,3918,ＰＣＩホールディングス,みずほ,
2015,6049,イトクロ,日興,
2015,4980,デクセリアルズ,大和,
2015,3460,ジャパン・シニアリビング投資法人,野村,J-REIT
2015,3917,アイリッジ,野村,
2015,7781,平山,みずほ,
2015,7812,クレステック,三菱,
2015,3138,富士山マガジンサービス,みずほ,
2015,3459,サムティ・レジデンシャル投資法人,大和,J-REIT
2015,6239,ナガオカ,日興,
2015,3137,ファンデリー,日興,
2015,7780,メニコン,大和,
2015,6167,冨士ダイス,野村,
2015,6166,中村超硬,野村,
2015,3136,エコノス,岡三,
2015,3916,デジタル・インフォメーション・テクノロジー,SMBC,
2015,3135,マーケットエンタープライズ,日興,
2015,4593,ヘリオス,野村,
2015,9417,スマートバリュー,大和,
2015,3915,テラスカイ,大和,
2015,6048,デザインワン・ジャパン,みずほ,
2015,6046,リンクバル,SMBC,
2015,6047,Gunosy,野村,
2015,3914,ジグソー,日興,
2015,6044,三機サービス,野村,
2015,6045,レントラックス,SBI,
2015,6040,日本スキー場開発,野村,
2015,3458,シーアールイー,日興,
2015,3134,Ｈａｍｅｅ,みずほ,
2015,3133,海帆,野村,
2015,4592,サンバイオ,野村,
2015,3913,sMedio,日興,
2015,3912,モバイルファクトリー,SBI,
2015,7813,プラッツ,大和,
2015,6039,日本動物高度医療センター,日興,
2015,3911,Aiming,野村,
2015,3457,ハウスドゥ,日興,
2015,3131,シンデン・ハイテックス,日興,
2015,3445,ＲＳＴｅｃｈｎｏｌｏｇｉｅｓ,SBI,
2015,6038,イード,野村,
2015,1430,ファーストコーポレーション,みずほ,
2015,3909,ショーケース・ティービー,野村,
2015,3224,ヒューマンウェブ,日興,
2015,3223,エスエルディー,みずほ,
2015,3455,ヘルスケア＆メディカル投資法人,日興,未上場
2015,3908,コラボス,日興,
2015,3910,エムケイシステム,岡三,
2015,3907,シリコンスタジオ,みずほ,
2015,1384,ホクリヨウ,野村,
2015,3906,ALBERT,SBI,
2015,3454,ファーストブラザーズ,野村,
2015,6037,ファーストロジック,大和,
2015,6036,KeePer技研,東海東京,
2015,3453,ケネディクス商業リート投資法人,日興,J-REIT
2016,3974,ティビィシィ・スキヤツト,SMBC,未上場
2016,3477,フォーライフ,みずほ,未上場
2016,3969,エイトレッド,大和,未上場
2016,3968,セグエグループ,みずほ,未上場
2016,6541,グレイステクノロジー,東海東京,未上場
2016,3970,イノベーション,日興,未上場
2016,3556,リネットジャパングループ,SBI,未上場
2016,7192,日本モーゲージサービス,みずほ,未上場
2016,7316,ＺＭＰ,日興,未上場
2016,6540,船場,野村,未上場
2016,7782,シンシア,SBI,未上場
2016,3476,投資法人みらい,野村,未上場
2016,6539,ＭＳ－Ｊａｐａｎ,野村,未上場
2016,6538,キャリアインデックス,SBI,未上場
2016,3475,グッドコムアセット,野村,
2016,7191,イントラスト,みずほ,
2016,9282,いちごグリーンインフラ投資法人,みずほ,J-REIT
2016,5704,ＪＭＣ,野村,
2016,3550,スタジオアタオ,日興,
2016,3967,エルテス,SBI,
2016,6537,ＷＡＳＨハウス,野村,
2016,3267,フィル・カンパニー,SBI,
2016,1438,岐阜造園,東海東京,
2016,3548,バロックジャパンリミテッド,大和,
2016,6535,アイモバイル,SBI,
2016,9142,九州旅客鉄道,三菱,
2016,3966,ユーザベース,みずほ,
2016,7190,マーキュリアインベストメント,日興,
2016,4189,ＫＨネオケム,みずほ,
2016,3965,キャピタル・アセット・プランニング,野村,
2016,3474,Ｇ－ＦＡＣＴＯＲＹ,日興,
2016,3964,オークネット,野村,上場中止
2016,3963,シンクロ・フード,野村,
2016,3961,シルバーエッグ・テクノロジー,大和,
2016,3962,チェンジ,SBI,
2016,3960,バリューデザイン,日興,
2016,3940,ノムラシステムコーポレーション,みずほ,
2016,3547,串カツ田中,大和,
2016,3939,カナミックネットワーク,野村,
2016,6533,デジタルアイデンティティ,みずほ,
2016,3473,さくら総合リート投資法人,日興,J-REIT
2016,6532,ベイカレント・コンサルティング,野村,
2016,3545,デファクトスタンダード,大和,
2016,3472,大江戸温泉リート投資法人,野村,J-REIT
2016,3471,三井不動産ロジスティクスパーク投資法人,大和,J-REIT
2016,3470,マリモ地方創生リート投資法人,日興,J-REIT
2016,6531,リファインバース,大和,
2016,3469,デュアルタップ,SBI,
2016,6200,インソース,みずほ,
2016,3938,LINE,野村,
2016,6199,セラク,日興,
2016,6197,ソラスト,日興,
2016,3543,コメダホールディングス,大和,
2016,3542,ベガコーポレーション,野村,
2016,6198,キャリア,日興,
2016,6193,バーチャレクス・コンサルティング,野村,
2016,7187,ジェイリース,みずほ,
2016,3937,ＡＷＳホールディングス,SBI,
2016,6196,ストライク,日興,
2016,2820,やまみ,みずほ,
2016,3541,農業総合研究所,大和,
2016,6194,アトラエ,大和,
2016,6195,ホープ,みずほ,
2016,9281,タカラレーベン・インフラ投資法人,みずほ,J-REIT
2016,3539,ジャパンミート,みずほ,
2016,3468,スターアジア不動産投資法人,野村,J-REIT
2016,3936,グローバルウェイ,大和,
2016,3935,エディア,SBI,
2016,3504,丸八ホールディングス,東海東京,
2016,6192,ハイアス・アンド・カンパニー,日興,
2016,3922,ＰＲＴＩＭＥＳ,SBI,
2016,6191,エボラブルアジア,SBI,
2016,3538,ウイルプラスホールディングス,みずほ,
2016,3934,ベネフィットジャパン,大和,
2016,3933,チエル,みずほ,
2016,7185,ヒロセ通商,野村,
2016,3467,アグレ都市デザイン,みずほ,
2016,6189,グローバルグループ,いちよし,
2016,6190,フェニックスバイオ,日興,
2016,6237,イワキ（銘柄名：イワキポンプ）,大和,
2016,9466,アイドママーケティングコミュニケーション,みずほ,
2016,3932,アカツキ,野村,
2016,3537,昭栄薬品,大和,
2016,6188,富士ソフトサービスビューロ,野村,
2016,6615,ユー・エム・シー・エレクトロニクス,みずほ,
2016,7184,富山第一銀行,大和,
2016,6187,LITALICO,野村,
2016,1436,フィット,SBI,
2016,2424,ブラス,東海東京,
2016,2884,ヨシムラ・フード・ホールディングス,大和,
2016,7811,中本パックス,野村,
2016,3931,バリューゴルフ,東海東京,
2016,3930,はてな,日興,
2016,3466,ラサールロジポート投資法人,野村,J-REIT
