no,security code,company name,lead manager,offering year,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
138,6080,Ｍ＆Ａキャピタルパートナーズ,野村,2013,1120,3000,10000,100,2800,3000,172500,150000,0,22500,2005,サービス業,マザーズ
139,3678,メディアドゥ,いちよし,2013,1120,3300,11770,100,3000,3300,391000,270000,70000,51000,1999,情報・通信,マザーズ
140,3679,じげん,野村,2013,1122,600,1750,100,500,600,9832500,1000000,7550000,1282500,2006,情報・通信,マザーズ
141,6081,アライドアーキテクツ,野村,2013,1129,1700,5600,100,1500,1700,761800,400000,262500,99300,2005,サービス業,マザーズ
142,6082,ライドオン・エクスプレス,野村,2013,1203,2000,3105,100,1790,2000,1196000,250000,790000,156000,2001,サービス業,マザーズ
143,4588,オンコリスバイオファーマ,日興,2013,1206,2600,3500,100,2420,2600,2553000,1820000,400000,333000,2004,医薬品,マザーズ
144,3680,ホットリンク,野村,2013,1209,2700,7170,100,2570,2700,539100,188800,280000,70300,2000,情報・通信,マザーズ
145,3681,ブイキューブ,野村,2013,1210,3300,5010,100,3000,3300,1342800,600000,567700,175100,2000,情報・通信,マザーズ
146,3682,エンカレッジ・テクノロジ,野村,2013,1211,1730,3775,100,1550,1730,744700,330000,317600,97100,2002,情報・通信,マザーズ
147,6084,オウチーノ,SBI,2013,1211,3500,8050,100,3300,3500,160200,130000,10200,20000,2003,サービス業,マザーズ
148,1429,日本アクア,野村,2013,1213,1650,2061,100,1480,1650,1805500,1570000,0,235500,2004,建設業,マザーズ
149,3293,アズマハウス,野村,2013,1217,1600,1760,100,1500,1600,1293700,550000,575000,168700,1977,不動産業,JASDAQスタンダード
150,6088,シグマクシス,日興,2013,1218,3010,3020,100,2830,3010,1827300,211700,1377300,238300,2008,サービス業,マザーズ
151,3294,イーグランド,みずほ,2013,1218,3300,4200,100,3030,3300,402500,250000,100000,52500,1989,不動産業,JASDAQスタンダード
152,6087,アビスト,SBI,2013,1218,3450,3450,100,3250,3450,603000,450000,74400,78600,2006,サービス業,JASDAQスタンダード
153,6085,アーキテクツ・スタジオ・ジャパン,野村,2013,1218,2050,4600,100,1850,2050,345000,250000,50000,45000,2007,サービス業,マザーズ
154,6089,ウィルグループ,日興,2013,1219,2870,2750,100,2770,2870,849000,333200,405100,110700,2006,サービス業,東証2部
155,4245,ダイキアクシス,三菱,2013,1219,1300,1351,100,1200,1300,805000,500000,200000,105000,2005,化学,東証2部
156,7167,足利ホールディングス,野村,2013,1219,420,451,100,400,420,63250000,55000000,0,8250000,2008,銀行業,東証1部
157,6086,シンプロメンテ,みずほ,2013,1219,950,2235,100,910,950,402500,200000,150000,52500,1985,サービス業,マザーズ
158,6090,ヒューマン・メタボローム・テクノロジーズ,いちよし,2013,1224,1400,3100,100,1300,1400,1571500,850000,571500,150000,2003,サービス業,マザーズ
159,4589,アキュセラ・インク(Acucela Inc.),三菱,2014,213,1800,2300,100,1650,1800,10580000,9200000,0,1380000,2002,医薬品,マザーズ
160,3683,サイバーリンクス,みずほ,2014,306,2400,6550,100,2200,2400,287500,250000,0,37500,1964,情報・通信業,JASDAQスタンダード
161,6092,エンバイオ・ホールディングス,日興,2014,312,580,1311,100,550,580,1297700,1050000,78500,169200,1999,サービス業,マザーズ
162,9414,日本ＢＳ放送,野村,2014,312,1820,1940,100,1680,1820,2679500,1380000,950000,349500,1999,情報・通信業,東証2部
163,4246,ダイキョーニシカワ,野村,2014,313,1600,1799,100,1450,1600,4203800,3300000,355500,548300,1961,化学,東証1部
164,6810,日立マクセル,日興,2014,318,2070,1971,100,1990,2070,37000000,0,35227700,1772300,1960,電気機器,東証1部
165,6740,ジャパンディスプレイ,野村,2014,319,900,769,100,900,1100,371900000,140000000,213900000,18000000,2002,電気機器,東証1部
166,3190,ホットマン,日興,2014,320,520,767,100,470,520,2093000,1820000,0,273000,1975,小売業,JASDAQスタンダード
167,3685,みんなのウェディング,野村,2014,325,2800,3560,100,2580,2800,1701600,850000,629700,221900,2010,情報・通信業,マザーズ
168,3686,ディー・エル・イー,野村,2014,326,1200,2412,100,1050,1200,1496100,800000,501000,195100,2001,情報・通信業,マザーズ
169,7779,ＣＹＢＥＲＤＹＮＥ,日興,2014,326,3700,8510,100,2700,3700,2421900,1222000,895700,304200,2004,精密機器,マザーズ
170,6093,エスクロー・エージェント・ジャパン,大和,2014,328,2700,8090,100,2600,2700,184000,80000,80000,24000,2007,サービス業,JASDAQスタンダード
171,9090,丸和運輸機関,みずほ,2014,408,3400,3100,100,3140,3400,920000,600000,200000,120000,1973,陸運業,東証2部
172,6616,トレックス・セミコンダクター,野村,2014,408,5000,4480,100,4500,5000,807600,350000,352300,105300,1995,電気機器,JASDAQスタンダード
173,3191,ジョイフル本田,三菱,2014,418,2700,2650,100,2450,2700,4104600,0,3814600,290000,1975,小売業,東証1部
174,3192,白鳩,野村,2014,423,520,760,100,480,520,1311000,570000,570000,171000,1974,小売業,JASDAQスタンダード
175,3687,フィックスターズ,三菱,2014,423,3450,9040,100,3350,3450,142600,100000,24000,18600,2002,情報・通信業,マザーズ
176,9024,西武ホールディングス,みずほ,2014,423,1600,1600,100,1600,1800,27826000,0,27826000,0,2006,陸運業,東証1部
177,3297,東武住販,東洋,2014,522,1250,1400,100,1050,1250,410000,270000,87000,53000,1984,不動産業,JASDAQスタンダード
178,7169,ニュートン・フィナンシャル・コンサルティング,みずほ,2014,616,3320,3065,100,3000,3320,732500,0,637000,95500,1999,保険業,JASDAQスタンダード
179,3299,ムゲンエステート,いちよし,2014,618,1200,1320,100,1100,1200,2990000,2300000,300000,390000,1990,不動産業,マザーズ
180,6094,フリークアウト,野村,2014,624,2000,7000,100,1910,2000,799200,530000,165000,104200,2010,サービス業,マザーズ
181,4247,ポバール興業,東海東京,2014,625,980,1045,100,930,980,287500,250000,0,37500,1964,化学,名証2部
182,4979,ＯＡＴアグリオ,大和,2014,625,4200,3936,100,4000,4200,920000,100000,700000,120000,2010,化学,東証2部
183,6096,レアジョブ,大和,2014,627,1170,3155,100,1080,1170,299000,100000,160000,39000,2007,サービス業,マザーズ
