security code,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
3680,12月9日,2700,7170,100,2570,2700,539100,188800,280000,70300,2000,,マザーズ
4588,12月6日,2600,3500,100,2420,2600,2553000,1820000,400000,333000,2004,,マザーズ
6082,12月3日,2000,3105,100,1790,2000,1196000,250000,790000,156000,2001,,マザーズ
6081,11月29日,1700,5600,100,1500,1700,761800,400000,262500,99300,2005,,マザーズ
3679,11月22日,600,1750,100,500,600,9832500,1000000,7550000,1282500,2006,,マザーズ
3678,11月20日,3300,11770,100,3000,3300,391000,270000,70000,51000,1999,,マザーズ
6080,11月20日,3000,10000,100,2800,3000,172500,150000,0,22500,2005,,マザーズ
3189,11月19日,1000,5100,100,960,1000,540500,320000,150000,70500,1992,,JASDAQスタンダード
3677,10月22日,740,3500,100,700,740,690000,400000,200000,90000,1980,,JASDAQスタンダード
6079,10月8日,280,717,100,240,280,8930000,4170000,3600000,1160000,2008,,マザーズ
6078,10月4日,2000,4035,100,1800,2000,414000,245000,115000,54000,2001,,JASDAQスタンダード
5698,9月25日,700,1040,100,630,700,1863000,1620000,0,243000,2010,,東証2部
3288,9月20日,1780,2100,100,1580,1780,8375000,5400000,2975000,400000,1996,,東証1部
3187,9月13日,950,3500,100,870,950,437000,380000,0,57000,1979,,マザーズ
6077,8月29日,1500,3100,100,1300,1500,471500,355000,55000,61500,2003,,マザーズ
6076,8月13日,730,797,100,700,730,1414500,1230000,0,184500,1924,,福証
3186,7月30日,1700,2011,100,1500,1700,824500,637000,80000,107500,1998,,マザーズ
6075,7月10日,1670,3775,100,1470,1670,230000,100000,100000,30000,2002,,マザーズ
2587,7月3日,3100,3120,100,3000,3800,125200000,93000000,26000000,6200000,2009,,東証1部
3184,6月27日,1900,3000,100,1800,1900,410000,297000,60000,53000,2009,,JASDAQスタンダード
6074,6月27日,950,1200,100,850,950,575000,300000,200000,75000,1976,,JASDAQスタンダード
4978,6月26日,3200,17800,100,2830,3200,1491200,642000,654700,194500,2003,,JASDAQグロース
6248,6月13日,720,1702,100,700,720,563700,250200,240000,73500,1953,,JASDAQスタンダード
4587,6月11日,2500,7900,100,1920,2500,3105000,1660000,1040000,405000,2006,,マザーズ
3674,4月25日,2600,10480,100,2280,2600,368000,242000,78000,48000,2007,,マザーズ
1420,4月9日,700,1250,100,600,700,2070000,1800000,0,270000,1996,,東証2部
1419,3月27日,980,1700,100,870,980,9244800,6500000,1539000,1205800,1998,,東証1部
3673,3月22日,1080,1200,100,1040,1080,21593000,2300000,16480000,2813000,2009,,東証1部
6073,3月19日,930,1034,100,900,930,2990000,1000000,1600000,390000,1973,,東証2部
7215,3月19日,3940,4150,100,3750,3940,1007500,347500,560000,100000,2004,,東証2部
9025,3月15日,1020,1404,100,980,1020,6872000,2550000,3425700,896300,1945,,東証1部
2588,3月15日,1200,3600,100,1000,1200,287500,250000,0,37500,2006,,マザーズ
3672,3月14日,1500,4015,100,1400,1500,1559500,900000,456500,203000,2010,,マザーズ
3182,3月13日,1200,3700,100,1000,1200,805000,500000,200000,105000,1997,,マザーズ
3671,3月12日,1300,5510,100,1100,1300,575000,300000,200000,75000,1974,,マザーズ
3670,2月20日,1500,5000,100,1450,1500,402500,150000,200000,52500,1965,,JASDAQスタンダード
3181,2月14日,900,2000,100,800,900,431000,215000,160000,56000,1999,,JASDAQスタンダード
3180,2月14日,2300,4160,100,2100,2300,239000,95000,124000,20000,2003,,マザーズ
4586,2月13日,1000,2200,100,800,1000,2679900,2202200,128200,349500,2002,,マザーズ
6034,12月26日,800,3275,100,750,800,839500,480000,250000,109500,2000,サービス業,マザーズ
7815,12月25日,2180,2005,100,1980,2180,520000,100000,360000,60000,1947,その他製品,東証2部
3904,12月25日,560,1803,100,530,560,1585800,989000,390000,206800,2005,情報・通信業,マザーズ
6033,12月25日,1400,5550,100,1320,1400,287500,250000,0,37500,2005,サービス業,マザーズ
3199,12月24日,640,680,100,540,640,2771500,1400000,1010000,361500,1949,小売業,東証2部
3221,12月24日,2640,3415,100,2490,2640,431200,225000,150000,56200,1985,小売業,JASDAQスタンダード
3905,12月24日,520,900,100,460,520,2541500,850000,1360000,331500,2000,情報・通信業,マザーズ
9517,12月22日,1170,1301,100,1120,1170,4600000,4000000,0,600000,1999,電気・ガス業,マザーズ
6032,12月22日,1750,2043,100,1720,1750,1058000,270000,650000,138000,1999,サービス業 特定の業種や職種に特化した求人サイトの運営。主力は製造業界向けの「工場WORKS」。人材紹介や採用支援なども展開している。 1991年3月にコンピューターシステム会社として設立された。2006年1月にアミューズキャピタルが全株式を取得したのに伴い現社名に変更。翌年2月に有料職業紹介業について当局から許可を受けた後、採用支援事業や人材紹介事業の分野で合併・買収(M&A)を繰り返した。一方、医療介護ワークスに係る事業は2014年5月に売却している。 1.メディア＆ソリューション事業 求人メディアとしての求人サイトの広告のほか、人材サービス企業を対象にした適性検査やPCスキルの診断ソフトやホームページ制作などのソリューション商品を販売している。 主力サービスの「工場WORKS」は、製造業の工場勤務者に特化した求人サイト。業種や製造業特有の職種にきめ細かく対応した検索軸を用意している。人材派遣会社などを主要な顧客としている。そのほか、アパレル業界に特化した「アパレルWORKS」や、販売・接客職の「販売・接客WORKS」などがある。 2.人材紹介事業 有料職業紹介業を展開している。コンサルタントを通じ、求人企業の中核を担う「ミドルマネジメント層」を中心とした、高付加価値人材を正社員として紹介している。 3.採用支援事業 企業の採用活動に関する業務を請け負う企業人事アウトソーシング事業を展開している。具体的には自社メディアや求人ポータルサイトを利用した採用母集団形成のためのプロモーション業務や、会社説明会の企画・運営、選考業務、内定者フォローなどを代行している。 2014年3月期の売上高構成比は、メディア＆ソリューション事業44.5％、人材紹介事業22.5％、採用支援事業33.0％。,マザーズ
6031,12月19日,2560,5780,100,2280,2560,453600,258500,136000,59100,2005,サービス業,マザーズ
9551,12月19日,2400,2256,100,2400,2550,11500000,10000000,0,1500000,2008,電気・ガス業,東証1部
6030,12月18日,2500,5680,100,2300,2500,379500,330000,0,49500,2006,サービス業,マザーズ
2883,12月18日,1800,1680,100,1700,1800,1725000,700000,800000,225000,1972,食料品,東証2部
3903,12月18日,3300,3300,100,3000,3300,13647200,1500000,10367200,1780000,2007,情報・通信業,東証1部
2586,12月17日,4290,6500,100,4130,4290,253000,100000,120000,33000,2002,食料品,マザーズ
7175,12月17日,1350,1720,100,1150,1350,575000,500000,0,75000,1944,証券商品先物,JASDAQスタンダード
4248,12月17日,900,918,100,880,900,862500,445000,305000,112500,1953,化学,東証2部
6029,12月16日,740,1313,100,690,740,920000,700000,100000,120000,2005,サービス業,マザーズ
9418,12月16日,3000,3950,100,2910,3000,1564000,960000,400000,204000,2009,情報・通信業,マザーズ
3901,12月16日,1980,3510,100,1780,1980,327200,214800,97400,15000,2001,情報・通信業,JASDAQスタンダード
3902,12月16日,5180,12220,100,4980,5180,276600,170000,70600,36000,2003,情報・通信業,マザーズ
3198,12月16日,1940,1620,100,1740,2040,7455000,7100000,0,355000,2010,小売業,東証2部
6028,12月15日,1950,1852,100,1800,1950,27255000,0,23700000,3555000,2006,サービス業,東証1部
3900,12月12日,760,1316,100,720,760,2127500,1650000,200000,277500,2011,情報・通信業,マザーズ
6026,12月11日,5800,13640,100,5000,5800,316400,100000,175200,41200,2006,サービス業,マザーズ
3452,12月11日,2010,10500,100,1810,2010,115000,100000,0,15000,2008,不動産業,マザーズ
7816,12月11日,2300,5390,100,2150,2300,372600,280000,44000,48600,1964,その他製品,マザーズ
6027,12月11日,1230,3880,100,1050,1230,1288000,370000,750000,168000,2005,サービス業,マザーズ
3698,11月27日,2400,13500,100,2100,2400,316000,110000,166000,40000,2001,情報・通信業,マザーズ
6025,11月26日,480,805,100,430,480,287500,250000,0,37500,2001,サービス業,名証セントレックス
3697,11月13日,1300,6000,100,1210,1300,598000,100000,420000,78000,2005,情報・通信業,マザーズ
6099,11月7日,1750,2980,100,1620,1750,1169500,500000,517000,152500,1995,サービス業,マザーズ
9467,10月30日,2200,4250,100,2100,2200,1293700,675000,450000,168700,2000,情報・通信業,マザーズ
3696,10月22日,1860,2890,100,1660,1860,640000,590000,0,50000,2005,情報・通信業,マザーズ
3694,10月22日,4000,14400,100,3700,4000,264300,229900,0,34400,2000,情報・通信業,マザーズ
3695,10月21日,2100,4900,100,2000,2100,520200,190000,262400,67800,2002,情報・通信業,マザーズ
6098,10月16日,3100,3170,100,2800,3100,68974100,29506200,34070000,5397900,1963,サービス業,東証1部
3197,10月9日,1200,1200,100,1200,1450,62759600,4138000,51528800,7092800,2011,小売業,東証1部
6240,10月8日,2800,3350,100,2700,2800,586500,300000,210000,76500,1956,機械,東証2部
3692,9月30日,1450,4010,100,1340,1450,382900,140000,193000,49900,2007,情報・通信業,マザーズ
3196,9月30日,2110,2074,100,2010,2110,2022500,816500,942200,263800,1991,小売業,マザーズ
4591,9月25日,2300,1830,100,2000,2300,2488600,1200000,964000,324600,2003,医薬品,マザーズ
3195,9月24日,1200,2630,100,1090,1200,466900,216000,190000,60900,2002,小売業,マザーズ
3300,9月19日,960,1555,100,860,960,616000,296000,300000,20000,2007,不動産業,マザーズ
3691,9月18日,2530,4505,100,2330,2530,564700,270400,220700,73600,2005,情報・通信業,マザーズ
3690,9月17日,1300,5000,100,1200,1300,394400,200000,143000,51400,2001,情報・通信業,マザーズ
7172,9月11日,2550,5770,100,2350,2550,439800,120000,262500,57300,2006,証券商品先物,マザーズ
6097,7月23日,2200,2150,100,1900,2200,1260000,125000,1000000,135000,1949,サービス業,東証2部
3689,7月15日,1900,8400,100,1700,1900,1371900,460000,733000,178900,2010,情報・通信業,マザーズ
3193,7月10日,2800,6180,100,2590,2800,529000,300000,160000,69000,1986,小売業,JASDAQスタンダード
3688,7月2日,2400,3360,100,2200,2400,4370000,500000,3300000,570000,1999,情報・通信業,マザーズ
6095,6月27日,4000,9250,100,3700,4000,270200,160000,75000,35200,2004,サービス業,マザーズ
6096,6月27日,1170,3155,100,1080,1170,299000,100000,160000,39000,2007,サービス業,マザーズ
4979,6月25日,4200,3936,100,4000,4200,920000,100000,700000,120000,2010,化学,東証2部
4247,6月25日,980,1045,100,930,980,287500,250000,0,37500,1964,化学,名証2部
6094,6月24日,2000,7000,100,1910,2000,799200,530000,165000,104200,2010,サービス業,マザーズ
