no,Offer Date,security code,industry,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year
128,20130730,3186,27,1,1,0,0,0,0,1700,2011,100,1500,1700,824500,637000,80000,107500,1998
129,20130813,6076,33,0,0,1,0,0,0,730,797,100,700,730,1414500,1230000,0,184500,1924
130,20130829,6077,33,1,1,0,0,0,0,1500,3100,100,1300,1500,471500,355000,55000,61500,2003
131,20130913,3187,27,1,1,0,0,0,0,950,3500,100,870,950,437000,380000,0,57000,1979
132,20130920,3288,32,0,0,1,0,0,0,1780,2100,100,1580,1780,8375000,5400000,2975000,400000,1996
133,20130925,5698,12,0,1,0,0,0,0,700,1040,100,630,700,1863000,1620000,0,243000,2010
134,20131004,6078,33,1,1,0,0,0,0,2000,4035,100,1800,2000,414000,245000,115000,54000,2001
135,20131008,6079,33,1,1,0,0,0,0,280,717,100,240,280,8930000,4170000,3600000,1160000,2008
136,20131022,3677,25,1,0,0,0,0,1,740,3500,100,700,740,690000,400000,200000,90000,1980
137,20131119,3189,27,1,0,1,0,0,0,1000,5100,100,960,1000,540500,320000,150000,70500,1992
138,20131120,6080,33,1,1,0,0,0,0,3000,10000,100,2800,3000,172500,150000,0,22500,2005
139,20131120,3678,25,1,0,0,0,0,0,3300,11770,100,3000,3300,391000,270000,70000,51000,1999
140,20131122,3679,25,1,1,0,0,0,0,600,1750,100,500,600,9832500,1000000,7550000,1282500,2006
141,20131129,6081,33,1,1,0,0,0,0,1700,5600,100,1500,1700,761800,400000,262500,99300,2005
142,20131203,6082,33,1,1,0,0,0,0,2000,3105,100,1790,2000,1196000,250000,790000,156000,2001
143,20131206,4588,8,1,0,0,1,0,0,2600,3500,100,2420,2600,2553000,1820000,400000,333000,2004
144,20131209,3680,25,1,1,0,0,0,0,2700,7170,100,2570,2700,539100,188800,280000,70300,2000
145,20131210,3681,25,1,1,0,0,0,0,3300,5010,100,3000,3300,1342800,600000,567700,175100,2000
146,20131211,3682,25,1,1,0,0,0,0,1730,3775,100,1550,1730,744700,330000,317600,97100,2002
147,20131211,6084,33,1,0,0,0,0,1,3500,8050,100,3300,3500,160200,130000,10200,20000,2003
148,20131213,1429,3,1,1,0,0,0,0,1650,2061,100,1480,1650,1805500,1570000,0,235500,2004
149,20131217,3293,32,1,1,0,0,0,0,1600,1760,100,1500,1600,1293700,550000,575000,168700,1977
150,20131218,6088,33,1,0,0,1,0,0,3010,3020,100,2830,3010,1827300,211700,1377300,238300,2008
151,20131218,3294,32,1,0,0,0,1,0,3300,4200,100,3030,3300,402500,250000,100000,52500,1989
152,20131218,6087,33,1,0,0,0,0,1,3450,3450,100,3250,3450,603000,450000,74400,78600,2006
153,20131218,6085,33,1,1,0,0,0,0,2050,4600,100,1850,2050,345000,250000,50000,45000,2007
154,20131219,6089,33,0,0,0,1,0,0,2870,2750,100,2770,2870,849000,333200,405100,110700,2006
155,20131219,4245,7,0,0,0,0,0,0,1300,1351,100,1200,1300,805000,500000,200000,105000,2005
156,20131219,7167,28,0,1,0,0,0,0,420,451,100,400,420,63250000,55000000,0,8250000,2008
157,20131219,6086,33,1,0,0,0,1,0,950,2235,100,910,950,402500,200000,150000,52500,1985
158,20131224,6090,33,1,0,0,0,0,0,1400,3100,100,1300,1400,1571500,850000,571500,150000,2003
159,20140213,4589,8,1,0,0,0,0,0,1800,2300,100,1650,1800,10580000,9200000,0,1380000,2002
160,20140306,3683,25,1,0,0,0,1,0,2400,6550,100,2200,2400,287500,250000,0,37500,1964
161,20140312,6092,33,1,0,0,1,0,0,580,1311,100,550,580,1297700,1050000,78500,169200,1999
162,20140312,9414,25,0,1,0,0,0,0,1820,1940,100,1680,1820,2679500,1380000,950000,349500,1999
163,20140313,4246,7,0,1,0,0,0,0,1600,1799,100,1450,1600,4203800,3300000,355500,548300,1961
164,20140318,6810,16,0,0,0,1,0,0,2070,1971,100,1990,2070,37000000,0,35227700,1772300,1960
165,20140319,6740,16,0,1,0,0,0,0,900,769,100,900,1100,371900000,140000000,213900000,18000000,2002
166,20140320,3190,27,1,0,0,1,0,0,520,767,100,470,520,2093000,1820000,0,273000,1975
167,20140325,3685,25,1,1,0,0,0,0,2800,3560,100,2580,2800,1701600,850000,629700,221900,2010
168,20140326,3686,25,1,1,0,0,0,0,1200,2412,100,1050,1200,1496100,800000,501000,195100,2001
169,20140326,7779,18,1,0,0,1,0,0,3700,8510,100,2700,3700,2421900,1222000,895700,304200,2004
170,20140328,6093,33,1,0,1,0,0,0,2700,8090,100,2600,2700,184000,80000,80000,24000,2007
171,20140408,9090,21,0,0,0,0,1,0,3400,3100,100,3140,3400,920000,600000,200000,120000,1973
172,20140408,6616,16,1,1,0,0,0,0,5000,4480,100,4500,5000,807600,350000,352300,105300,1995
173,20140418,3191,27,0,0,0,0,0,0,2700,2650,100,2450,2700,4104600,0,3814600,290000,1975
174,20140423,3192,27,1,1,0,0,0,0,520,760,100,480,520,1311000,570000,570000,171000,1974
175,20140423,3687,25,1,0,0,0,0,0,3450,9040,100,3350,3450,142600,100000,24000,18600,2002
176,20140423,9024,21,0,0,0,0,1,0,1600,1600,100,1600,1800,27826000,0,27826000,0,2006
177,20140522,3297,32,1,0,0,0,0,0,1250,1400,100,1050,1250,410000,270000,87000,53000,1984
178,20140616,7169,30,1,0,0,0,1,0,3320,3065,100,3000,3320,732500,0,637000,95500,1999
179,20140618,3299,32,1,0,0,0,0,0,1200,1320,100,1100,1200,2990000,2300000,300000,390000,1990
180,20140624,6094,33,1,1,0,0,0,0,2000,7000,100,1910,2000,799200,530000,165000,104200,2010
181,20140625,4247,7,1,0,0,0,0,0,980,1045,100,930,980,287500,250000,0,37500,1964
182,20140625,4979,7,0,0,1,0,0,0,4200,3936,100,4000,4200,920000,100000,700000,120000,2010
183,20140627,6096,33,1,0,1,0,0,0,1170,3155,100,1080,1170,299000,100000,160000,39000,2007
184,20140627,6095,33,1,1,0,0,0,0,4000,9250,100,3700,4000,270200,160000,75000,35200,2004
185,20140702,3688,25,1,1,0,0,0,0,2400,3360,100,2200,2400,4370000,500000,3300000,570000,1999
